"Entity","Attribute","DataType","PK","FK","Nullable","Description"
"AD STATUS TYPE","Ad Status Type Cd","N/A (LDM)","Y","","","Defines the status of an ad.  Examples:  - Active  - Canceled - Under trial test"
"AD STATUS TYPE","Ad Status Type Desc","N/A (LDM)","","","","Narrative text describing an AD Status."
"AD SUBCATEGORY","Ad Subcategory Cd","N/A (LDM)","Y","","","This code provides a second higher level of classification of advertisement."
"AD SUBCATEGORY","Ad Subcategory Desc","N/A (LDM)","","","","This is a description of the code."
"AD SUBTYPE","Ad Subtype Cd","N/A (LDM)","Y","","","This is a classification of advertisement delivery types such as radio, TV, and web."
"AD SUBTYPE","Ad Subtype Desc","N/A (LDM)","","","","The description of the type of ad such as radio, TV, or web."
"AD VIEWER PLACEMENT DEMOGRAPHIC","","N/A (LDM)","","","","This entity captures demographic information regarding the desired characteristics of the expected audience for the advertisement being placed. Examples include education level, age range, income level, and job status."
"ADD ON FACTOR PARAMETER","Add On Factor Id","N/A (LDM)","Y","","","This is the identifier for the potential future exposure add-on factor parameter value."
"ADD ON FACTOR PARAMETER","Add On Factor Start Dt","N/A (LDM)","","","","The start date for this parameter value."
"ADD ON FACTOR PARAMETER","Add On Factor End Dt","N/A (LDM)","","","","The date when this parameter value ended."
"ADD ON FACTOR PARAMETER","Qualifying Reference Obligation Ind","N/A (LDM)","","","","'Qualifying' is defined by the Market Risk Amendment for this obligation as whether it fits into a category of securities that are rated investment grade or comparable. This indicates whether this obligation is qualifying or not."
"ADD ON FACTOR PARAMETER","Add On Rate","N/A (LDM)","","","","The percentage applied to the current exposure amount to account for potential future exposure over the life of the contract.  The resultant add on amount is added to the current exposure amount to take into consideration the potential for future exposure."
"ADDRESS","Address Id","N/A (LDM)","Y","","","The unique identifier for an ADDRESS."
"ADDRESS","Locator Type Cd","N/A (LDM)","","","",""
"ADDRESS DELIVERY STATUS","Delivery Status Dttm","N/A (LDM)","Y","","","The date and time the delivery status is effective."
"ADDRESS SUBTYPE","Address Subtype Cd","N/A (LDM)","Y","","","A code that uniquely identifies the ADDRESS SUBTYPE.  Examples:  - Street address - Electronic address - Geospatial locator - Parcel address - Post office box address - Military address"
